cell_id,mouse_id,exclusion,notes,abf_folder,free_run_file,hyperpol_file,small_steps_file,ramp_file,sagIh_file,SK_VC_file,SK_VC_apamin_file,small_steps_apamin_file,ramp_apamin_file,hyperpol_apamin_file,sagIh_apamin_file
20260607_cell7_JMT,20260607_SNI_M2,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\06072026,2026_06_07_0092.abf,2026_06_07_0093.abf,2026_06_07_0094.abf,2026_06_07_0096.abf,2026_06_07_0097.abf,"[2026_06_07_0098.abf, 2026_06_07_0099.abf]","[2026_06_07_0106.abf, 2026_06_07_0107.abf]",2026_06_07_0104.abf,2026_06_07_0105.abf,2026_06_07_0103.abf,
20260607_cell8_JMT,20260607_SNI_M1,,small_steps very dep. plateua,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\06072026,2026_06_07_0108.abf,2026_06_07_0109.abf,2026_06_07_0110.abf,,,,,,,,
20260610_cell5_JMT,20260610_SNI_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\06102026,2026_06_10_0060.abf,2026_06_10_0061.abf,2026_06_10_0063.abf,2026_06_10_0064.abf,2026_06_10_0065.abf,"[2026_06_10_0066.abf, 2026_06_10_0067.abf]","[2026_06_10_0074.abf, 2026_06_10_0075.abf]",2026_06_10_0072.abf,2026_06_10_0073.abf,2026_06_10_0071.abf,
20260610_cell6_JMT,20260610_SNI_M1,no APs,,,,,,,,,,,,,
20260610_cell7_JMT,20260610_SNI_M1,sag,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\06102026,2026_06_10_0079.abf,2026_06_10_0080.abf,2026_06_10_0081.abf,2026_06_10_0082.abf,2026_06_10_0083.abf,,,,,,
20260610_cell8_JMT,20260610_SNI_M1,sag,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\06102026,2026_06_10_0084.abf,,,,,,,,,,
20260610_cell9_JMT,20260610_SNI_M1,probably sag,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\06102026,2026_06_10_0086.abf,2026_06_10_0087.abf,2026_06_10_0088.abf,2026_06_10_0089.abf,2026_06_10_0090.abf,"[2026_06_10_0091.abf, 2026_06_10_0092.abf] ","[2026_06_10_0099.abf, 2026_06_10_0100.abf] ",2026_06_10_0097.abf,2026_06_10_0098.abf,2026_06_10_0096.abf,
20260611_cell1_JMT,20260611_SNI_F1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\06112026,2026_06_11_0000.abf,2026_06_11_0001.abf,2026_06_11_0002.abf,2026_06_11_0003.abf,2026_06_11_0004.abf,"[2026_06_11_0005.abf, 2026_06_11_0006.abf] ","[2026_06_11_0008.abf, 2026_06_11_0009.abf]",2026_06_11_0011.abf,2026_06_11_0012.abf,2026_06_11_0010.abf,
20260611_cell2_JMT,20260611_SNI_F1,no APs,,,,,,,,,,,,,
20260611_cell3_JMT,20260611_SNI_F1,"sag, faint mCherry",,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\06112026,2026_06_11_0017.abf,2026_06_11_0018.abf,2026_06_11_0019.abf,2026_06_11_0020.abf,2026_06_11_0021.abf,,,,,,
